路線名
JR中央線
JR中央本線
JR五日市線
JR京浜東北線
JR京葉線
JR八高線
JR南武線
JR埼京線
JR宇都宮線
JR山手線
JR常磐線各駅停車
JR常磐線快速
JR東海道本線
JR横浜線
JR横須賀線
JR武蔵野線
JR湘南新宿ライン
JR総武線
JR総武線快速
JR青梅線
JR高崎線
東京メトロ丸ノ内分岐線
東京メトロ丸ノ内線
東京メトロ千代田線
東京メトロ半蔵門線
東京メトロ南北線
東京メトロ日比谷線
東京メトロ有楽町線
東京メトロ東西線
東京メトロ銀座線
東京メトロ副都心線
